Job ID,Job Title,Company Name,Location,Job Link,Job Description
zingbus-data-engineer-python-pandas-at-zingbus-4153470723,Zingbus - Data Engineer - Python/Pandas,zingbus,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/zingbus-data-engineer-python-pandas-at-zingbus-4153470723?position=1&pageNum=0&refId=j6%2BSbvLVEYhGpnHi%2BDBu4g%3D%3D&trackingId=g235mRCvY07m6le1lcOvbg%3D%3D,"Job Description : Data EngineerLocation : GurgaonExperience : 0-1 YearEmployment Type : Full-timeKey Responsibilities Design, develop, and maintain ETL/ELT data pipelines for processing large datasets. Work with structured and unstructured data to ensure data consistency and quality. Collaborate with software engineers to optimise database performance. Develop and maintain data models for analysis and reporting. Implement data security, governance, and compliance best practices. Assist in building real-me and batch processing solutions using cloud-based tools. Monitor and troubleshoot data pipeline issues to ensure smooth operations.Required Skills & Qualifications Bachelor's/Master's degree in Computer Science, Information Technology, or a related eld. (Tier - 1 preferred) Strong knowledge of SQL and database concepts. Proficiency in Python (Pandas, NumPy) or any other scripting language. Familiarity with Big Data technologies (Hadoop, Spark) is a plus. Knowledge of Cloud platforms (AWS, GCP, Azure) is a plus. Understanding of ETL/ELT concepts and data warehousing. Strong problem-solving and analytical skills. Good communication and teamwork skills.(ref:hirist.tech)
        


        
            Show more
          

          



        
            Show less"
data-analyst-at-kpmg-india-4169917026,Data Analyst,KPMG India,"Delhi, India",https://in.linkedin.com/jobs/view/data-analyst-at-kpmg-india-4169917026?position=2&pageNum=0&refId=j6%2BSbvLVEYhGpnHi%2BDBu4g%3D%3D&trackingId=FtmRWIO37p23VKHeO1Cu4Q%3D%3D,"KPMG India is expanding its Government & Public Sector Advisory team and is looking for top talent in Data Analytics.   📍 Location: #Delhi NCR Company: KPMG India – Government Advisory Practice-Immediate Joiners only.  We are hiring for the following roles: Business/Data Analyst – Logistics Responsibilities:Conduct a thorough analysis of mail logistics operations to pinpoint optimization opportunities.Design data use cases that support predictive routing, forecast mail volumes and monitor operational performance.Evaluate parcel logistics workflows to identify improvements in efficiency and precision.Develop data use cases aimed at providing real-time tracking, optimizing capacity utilization and analyzing customer satisfaction.Work in partnership with IT and logistics teams to ensure that analytics solutions are well-integrated into the IT 2.0 initiative.Qualifications:A bachelor's degree in Engineering, Business, Analytics, or a closely related field.3+ years of demonstrated experience data analytics- proficient in extracting and manipulating data, strong analytical skills and simple data visualization.A solid grasp of the processes involved in mail operations and the technologies used in this area.Familiarity with the principles of supply chain management and the use of analytics tools.Business Analyst – BFSI Responsibilities:Review banking services to find areas where data-driven enhancements can be made.Establish data use cases focused on risk evaluation, detailed transaction analysis and customization of services.Analyze insurance processes to extract insights useful for product development and managing risk.Create data use cases for efficient claims processing, detecting fraud and segmenting customers.Facilitate the smooth integration of analytics within the banking systems as part of IT 2.0.Qualifications:A bachelor's degree in Engineering, Business, Finance, Economics, or a similar field with a focus on analytics.3+ years of demonstrated experience data analytics- proficient in extracting and manipulating data, strong analytical skills and simple data visualization.Understanding of BFSI-related analyticsBusiness Analyst – CCP & CRM Responsibilities:Examine the delivery of services to citizens to find areas where analytics can enhance service provision.Inspect accounting and CRM processes to identify ways to improve efficiency and customer satisfaction.Construct data use cases that support financial forecasting, analysis of customer lifecycle and prediction of customer attrition.Formulate data use cases for predicting service demand, improving service accessibility and analyzing customer feedback.Work with stakeholders to weave citizen-centric analytics into the IT 2.0 project.Qualifications:A bachelor's degree in Engineering, Public Administration, Social Sciences, or a related field with an element of analytics.3+ years of demonstrated experience data analytics- proficient in extracting and manipulating data, strong analytical skills and simple data visualization.A comprehensive understanding of how to engage citizens and deliver services effectively.



        
            Show more
          

          



        
            Show less"
cloud-engineer-data-and-analytics-at-google-4139895608,"Cloud Engineer, Data and Analytics",Google,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/cloud-engineer-data-and-analytics-at-google-4139895608?position=3&pageNum=0&refId=j6%2BSbvLVEYhGpnHi%2BDBu4g%3D%3D&trackingId=LDyh0IwCJufqUbzkgMUcRA%3D%3D,"Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Hyderabad, Telangana, India; Bengaluru, Karnataka, India; Gurgaon, Haryana, India; Pune, Maharashtra, India.Minimum qualifications:Bachelor's degree in Computer Science, Engineering, Mathematics, or a related field, or equivalent practical experience.4 years of experience in developing and troubleshooting data processing algorithms.Experience coding with one or more programming languages (e.g., Java, Python) and Bigdata technologies such as Scala, Spark and hadoop frameworks.Experience with one public cloud provider, such as GCP.Preferred qualifications:Experience architecting, developing software, or internet scale production-grade Big Data solutions in virtualized environments.Experience in Big Data, information retrieval, data mining, or Machine Learning.Experience with data warehouses, technical architectures, infrastructure components, Extract Transform and Load/Extract, Load and Transform and reporting/analytic tools, environments, and data structures.Experience in building multi-tier applications with modern technologies such as NoSQL, MongoDB, SparkML, and TensorFlow.Experience with Infrastructure as Code and Continuous Integration/Continuous Deployment tools like Terraform, Ansible, Jenkins.Understanding one database type, with the ability to write complex SQL queries.About The JobThe Google Cloud Platform team helps customers transform and build what's next for their business — all with technology built in the cloud. Our products are developed for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers — developers, small and large businesses, educational institutions and government agencies — see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.As a Strategic Cloud Data Engineer, you will guide customers on how to ingest, store, process, analyze, and explore/visualize data on the Google Cloud Platform. You will work on data migrations and modernization projects, and with customers to design data processing systems, develop data pipelines optimized for scaling, and troubleshoot potential platform/product challenges. You will have an understanding of data governance and security controls. You will travel to customer sites to deploy solutions and deliver workshops to educate and empower customers. Additionally, you will work with Product Management and Product Engineering teams to build and constantly drive excellence in our products.Google Cloud accelerates every organization’s ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.ResponsibilitiesInteract with stakeholders to translate complex customer requirements into recommendations for appropriate solution architectures and advisory services.Engage with technical leads, and partners to lead high velocity migration and modernisation to Google Cloud Platform (GCP).Design, Migrate/Build and Operationalise data storage and processing infrastructure using Cloud native products.Develop and implement data quality and governance procedures to ensure the accuracy and reliability of data.Take various project requirements and organize them into clear goals and objectives, and create a work breakdown structure to manage internal and external stakeholders.Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form .
        


        
            Show more
          

          



        
            Show less"
cloud-engineer-data-and-analytics-at-google-4139897617,"Cloud Engineer, Data and Analytics",Google,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/cloud-engineer-data-and-analytics-at-google-4139897617?position=4&pageNum=0&refId=j6%2BSbvLVEYhGpnHi%2BDBu4g%3D%3D&trackingId=m7fzA%2FpGg9of5zNlJvnybA%3D%3D,"Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Hyderabad, Telangana, India; Bengaluru, Karnataka, India; Gurgaon, Haryana, India; Pune, Maharashtra, India.Minimum qualifications:Bachelor's degree in Computer Science, Engineering, Mathematics, or a related field, or equivalent practical experience.4 years of experience in developing and troubleshooting data processing algorithms.Experience coding with one or more programming languages (e.g., Java, Python) and Bigdata technologies such as Scala, Spark and hadoop frameworks.Experience with one public cloud provider, such as GCP.Preferred qualifications:Experience architecting, developing software, or internet scale production-grade Big Data solutions in virtualized environments.Experience in Big Data, information retrieval, data mining, or Machine Learning.Experience with data warehouses, technical architectures, infrastructure components, Extract Transform and Load/Extract, Load and Transform and reporting/analytic tools, environments, and data structures.Experience in building multi-tier applications with modern technologies such as NoSQL, MongoDB, SparkML, and TensorFlow.Experience with Infrastructure as Code and Continuous Integration/Continuous Deployment tools like Terraform, Ansible, Jenkins.Understanding one database type, with the ability to write complex SQL queries.About The JobThe Google Cloud Platform team helps customers transform and build what's next for their business — all with technology built in the cloud. Our products are developed for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers — developers, small and large businesses, educational institutions and government agencies — see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.As a Strategic Cloud Data Engineer, you will guide customers on how to ingest, store, process, analyze, and explore/visualize data on the Google Cloud Platform. You will work on data migrations and modernization projects, and with customers to design data processing systems, develop data pipelines optimized for scaling, and troubleshoot potential platform/product challenges. You will have an understanding of data governance and security controls. You will travel to customer sites to deploy solutions and deliver workshops to educate and empower customers. Additionally, you will work with Product Management and Product Engineering teams to build and constantly drive excellence in our products.Google Cloud accelerates every organization’s ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.ResponsibilitiesInteract with stakeholders to translate complex customer requirements into recommendations for appropriate solution architectures and advisory services.Engage with technical leads, and partners to lead high velocity migration and modernisation to Google Cloud Platform (GCP).Design, Migrate/Build and Operationalise data storage and processing infrastructure using Cloud native products.Develop and implement data quality and governance procedures to ensure the accuracy and reliability of data.Take various project requirements and organize them into clear goals and objectives, and create a work breakdown structure to manage internal and external stakeholders.Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form .
        


        
            Show more
          

          



        
            Show less"
associate-data-analyst-at-circle-k-4149474186,Associate Data Analyst,Circle K,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/associate-data-analyst-at-circle-k-4149474186?position=5&pageNum=0&refId=j6%2BSbvLVEYhGpnHi%2BDBu4g%3D%3D&trackingId=faFHFAMBL80VH6f%2F3Q%2FH%2Fg%3D%3D,"Job DescriptionCircle K (Part of Alimentation Couche-Tard group) is a global leader in the convenience store and fuel space, it has a footprint across 31 countries and territories. At the Circle K Business Centre in India, we are #OneTeam using the power of data analytics to drive our decisions and strengthen Circle K’s global capabilities. We make it easy for our customers all over the world – we partner with the business to empower the right decisions and deliver effectively, while rapidly unlocking value for our customers across the enterprise. Our team in India is an integral part of our talent ecosystem that helps advance us on our journey to becoming a data-centric company. The future of data analytics at Circle K is bright – and we’re only just getting started.About The RoleThe India Data & Analytics Global Capability Centre is an integral part of ACT’s Global Data & Analytics Team, and the Associate Data Analyst will be a key player on this team that will help grow analytics globally at ACT. The hired candidate will partner with multiple departments, including Global Marketing, Merchandising, Global Technology, and Business Units.The incumbent will be responsible for deploying analytics algorithms and tools on chosen tech stack for efficient and effective delivery. Responsibilities include delivering insights and targeted action plans, address specific areas of risk and opportunity, work cross-functionally with business and technology teams, and leverage the support of global teams for analysis and data.Roles & ResponsibilitiesAnalytics (Data & Insights)Clean and organize large datasets for analysis and visualization using statistical methods; verify and ensure accuracy, integrity, and consistency of dataIdentifying trends and patterns in data and using this information to drive business decisionsCreate the requirement artefacts e.g., Functional specification document, use cases, requirement traceability matrix, business test cases and process mapping documents, user stories for analytics projectsBuild highly impactful and intuitive dashboards that bring the underlying data to life through insightsGenerate ad-hoc analysis for leadership to deliver relevant, action-oriented, and innovative recommendationsOperational ExcellenceImprove data quality by using and improving tools to automatically detect issuesDevelop analytical solutions or dashboards using user-centric design techniques in alignment with ACT’s protocolStudy industry/organization benchmarks and design/develop analytical solutions to monitor or improve business performance across retail, marketing, and other business areasStakeholder ManagementWork with high-performing Functional Consultants, Data Engineers, and cross-functional teams to lead / support the complete lifecycle of visual analytical applications, from development of mock-ups and storyboards to complete production ready applicationProvide regular updates to stakeholders to simplify and clarify complex concepts, and communicate the output of work to businessCreate compelling documentation or artefacts that connects business to the solutionsCoordinate internally to share key learning with other teams and lead to accelerated business performanceBehavioral SkillsDelivery ExcellenceBusiness dispositionSocial intelligenceInnovation and agilityKnowledgeFunctional Analytics (Retail Analytics, Supply Chain Analytics, Marketing Analytics, Customer Analytics, etc.)Working understanding of Statistical modelling using Analytical tools (Python, PySpark, R, etc.)Enterprise reporting systems, relational (MySQL, Microsoft SQL Server, etc.), and non-relational (MongoDB, DynamoDB) database management systemsBusiness intelligence & reporting (Power BI, Tableau, Alteryx, etc.)Cloud computing services in Azure/AWS/GCP for analyticsEducationBachelor’s degree in computer science, Information Management or related technical fieldsExperience1+ years for Associate. Data AnalystRelevant working experience in a quantitative/applied analytics roleExperience with programming and the ability to quickly pick up handling large data volumes with modern data processing tools, e.g. by using Spark / SQL / Python



        
            Show more
          

          



        
            Show less"
data-analyst-power-bi-at-walmart-global-tech-india-4141921398,Data Analyst Power BI,Walmart Global Tech India,Greater Chennai Area,https://in.linkedin.com/jobs/view/data-analyst-power-bi-at-walmart-global-tech-india-4141921398?position=6&pageNum=0&refId=j6%2BSbvLVEYhGpnHi%2BDBu4g%3D%3D&trackingId=ak530gpv8p4NKem0TqG%2B9Q%3D%3D,"What you'll do:Develop and maintain daily, weekly and monthly report on operational metrics.Conduct data and business analysis, and present summary of findings to management in a clear, concise, convincing, and actionable formatCreate and maintain accurate Agent Database at all stages (Hiring, Training, Nesting, Production and Movement between LOBs)Create and maintain Agent Scorecards to track and report on KPIsCreate and maintain all payroll related input detailCreate and maintain Attrition DashboardGenerate and distribute management reports in accurate, and timely mannerDevelops MIS documentation to allow for smooth operations and easy system maintenanceProvide recommendations to improve reporting efficiency and consistencyPerform data analysis for generating reports on periodic basisProvide strong reporting and analytical information support to management teamGenerate both periodic and ad hoc reports as and when neededAnalyze business information to identify process improvements for increasing business efficiency and effectiveness.Establish a strong relationship with Team Managers and Management through a demonstration of industry knowledge and of the business issues at handCandidate should possess exceptional skills in preparing slide packWhat you'll bring:Bachelor's degreeWilling to work in Rotational ShiftAttention to detail and excellent analytical skills.Effective communication and interpersonal skills.Excellent problem-solving and management skills.Excellent Proficiency in Excel, Power BI and SQLAbout Walmart Global TechImagine working in an environment where one line of code can make life easier for hundreds of millions of people. That’s what we do at Walmart Global Tech. We’re a team of software engineers, data scientists, cybersecurity expert's and service professionals within the world’s leading retailer who make an epic impact and are at the forefront of the next retail disruption. People are why we innovate, and people power our innovations. We are people-led and tech-empowered. We train our team in the skillsets of the future and bring in experts like you to help us grow. We have roles for those chasing their first opportunity as well as those looking for the opportunity that will define their career. Here, you can kickstart a great career in tech, gain new skills and experience for virtually every industry, or leverage your expertise to innovate at scale, impact millions and reimagine the future of retail.Flexible, hybrid work:We use a hybrid way of working that is primarily in office coupled with virtual when not onsite. Our campuses serve as a hub to enhance collaboration, bring us together for purpose and deliver on business needs. This approach helps us make quicker decisions, remove location barriers across our global team and be more flexible in our personal lives.



        
            Show more
          

          



        
            Show less"
data-engineer-google-cloud-at-google-4169043934,"Data Engineer, Google Cloud",Google,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-google-cloud-at-google-4169043934?position=7&pageNum=0&refId=j6%2BSbvLVEYhGpnHi%2BDBu4g%3D%3D&trackingId=v1mwu%2F32J6anygU981LGxA%3D%3D,"Minimum qualifications:Bachelor's degree in Computer Science, Mathematics, a related field, or equivalent practical experience.3 years of experience with data processing software (e.g., Hadoop, Spark, Pig, Hive) and algorithms (e.g., MapReduce, Flume).Experience managing client-facing projects, troubleshooting technical issues, and working with Engineering and Sales Services teams.Experience with database administration techniques or data engineering, as well as writing software in Java, C++, Python, Go, or JavaScript.Preferred qualifications:Experience working with data warehouses, including data warehouse technical architectures, infrastructure components, ETL/ELT, and reporting/analytic tools and environments.Experience working with Big Data, information retrieval, data mining, or machine learning.Experience in building multi-tier high availability applications with modern web technologies (e.g., NoSQL, MongoDB, SparkML, TensorFlow).Experience in technical consulting.Experience architecting, developing software, or internet scale production-grade Big Data solutions in virtualized environments.About The JobThe Google Cloud Consulting Professional Services team guides customers through the moments that matter most in their cloud journey to help businesses thrive. We help customers transform and evolve their business through the use of Google’s global network, web-scale data centers, and software infrastructure. As part of an innovative team in this rapidly growing business, you will help shape the future of businesses of all sizes and use technology to connect with customers, employees, and partners.Google Cloud accelerates every organization’s ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.ResponsibilitiesResearch and develop deep understanding of cloud data.Collect, aggregate, cleanse, and analyze data from various sources. Translate complex data sets into actionable insights and present them in a clear and understandable manner.Develop and maintain data pipelines to ensure the reliable and efficient flow of data from source systems to the analytics application and reporting tools.Implement data governance and security best practices to protect sensitive data and ensure compliance with relevant regulations.Continuously evaluate and adopt new technologies and tools to enhance the capabilities of the analytics platform and improve data management processes.Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form .
        


        
            Show more
          

          



        
            Show less"
databases-engineer-at-google-4142244673,Databases Engineer,Google,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/databases-engineer-at-google-4142244673?position=8&pageNum=0&refId=j6%2BSbvLVEYhGpnHi%2BDBu4g%3D%3D&trackingId=uVCOeUlo%2BGV1M1TKyM%2FBZQ%3D%3D,"Minimum qualifications:Bachelor's degree in Computer Science, Engineering, Mathematics, a related field, or equivalent practical experience.4 years of experience in developing, troubleshooting applications with popularly used DBMS such as MySQL, PostgreSQL, Oracle, and NoSQL databases like MongoDB.Experience coding in Java, Python etc, and experience in writing queries using SQL and PL/SQL.Experience of homogeneous and heterogeneous database migrations of enterprise scale.Experience in GCP.Preferred qualifications:Experience with encryption techniques like symmetric, asymmetric, Hardware Security Module (HSMs), and envelop, and ability to implement secure key storage using Key Management System.Experience in designing and performing large scale data migrations using various tools and services.Experience in Google Cloud Native Databases like Cloud Spanner, Cloud BigTable and AlloyDB.Experience troubleshooting and resolving database-related issues.Knowledge of database design principles, data modeling, and the ability to translate business requirements into database structures.Understanding of data security measures and encryption techniquesAbout The JobThe Google Cloud Platform team helps customers transform and build what's next for their business — all with technology built in the cloud. Our products are developed for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers — developers, small and large businesses, educational institutions and government agencies — see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.As a Strategic Cloud Data Engineer, you will work with customers and partner teams to design,develop,deploy and manage scalable and reliable databases on the Google Cloud Platform meeting the Organization’s storage demands. You will work on data migrations and modernization projects incorporating best practices of data governance and security controls. You will travel to customer sites to deploy solutions and deliver workshops to educate and empower customer teams to adhere to best practices in Database design and operations. Additionally, you will work with Product Management and Product Engineering teams to build and constantly drive excellence in our products that solve the biggest customer challenges.Google Cloud accelerates every organization’s ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.ResponsibilitiesInteract with stakeholders to translate business and technical requirements into recommendations for scalable and cost-effective database solutions and advisory services.Engage with technical leads and partners to lead high velocity data migration and modernization to Google Cloud Platform (GCP) using Google or third-party tools and services.Develop and implement data quality and governance procedures to ensure the accuracy and reliability of data.Work with customer or partner teams to troubleshoot their storage systems for potential performance challenges.Take various project requirements and organize them into clear goals and objectives, and create a work breakdown structure to manage internal and external stakeholders.Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form .
        


        
            Show more
          

          



        
            Show less"
cloud-engineer-data-and-analytics-at-google-4139896683,"Cloud Engineer, Data and Analytics",Google,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/cloud-engineer-data-and-analytics-at-google-4139896683?position=9&pageNum=0&refId=j6%2BSbvLVEYhGpnHi%2BDBu4g%3D%3D&trackingId=LHo8X7xwtbGEUIbkCZMhNw%3D%3D,"Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Hyderabad, Telangana, India; Bengaluru, Karnataka, India; Gurgaon, Haryana, India; Pune, Maharashtra, India.Minimum qualifications:Bachelor's degree in Computer Science, Engineering, Mathematics, or a related field, or equivalent practical experience.4 years of experience in developing and troubleshooting data processing algorithms.Experience coding with one or more programming languages (e.g., Java, Python) and Bigdata technologies such as Scala, Spark and hadoop frameworks.Experience with one public cloud provider, such as GCP.Preferred qualifications:Experience architecting, developing software, or internet scale production-grade Big Data solutions in virtualized environments.Experience in Big Data, information retrieval, data mining, or Machine Learning.Experience with data warehouses, technical architectures, infrastructure components, Extract Transform and Load/Extract, Load and Transform and reporting/analytic tools, environments, and data structures.Experience in building multi-tier applications with modern technologies such as NoSQL, MongoDB, SparkML, and TensorFlow.Experience with Infrastructure as Code and Continuous Integration/Continuous Deployment tools like Terraform, Ansible, Jenkins.Understanding one database type, with the ability to write complex SQL queries.About The JobThe Google Cloud Platform team helps customers transform and build what's next for their business — all with technology built in the cloud. Our products are developed for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers — developers, small and large businesses, educational institutions and government agencies — see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.As a Strategic Cloud Data Engineer, you will guide customers on how to ingest, store, process, analyze, and explore/visualize data on the Google Cloud Platform. You will work on data migrations and modernization projects, and with customers to design data processing systems, develop data pipelines optimized for scaling, and troubleshoot potential platform/product challenges. You will have an understanding of data governance and security controls. You will travel to customer sites to deploy solutions and deliver workshops to educate and empower customers. Additionally, you will work with Product Management and Product Engineering teams to build and constantly drive excellence in our products.Google Cloud accelerates every organization’s ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.ResponsibilitiesInteract with stakeholders to translate complex customer requirements into recommendations for appropriate solution architectures and advisory services.Engage with technical leads, and partners to lead high velocity migration and modernisation to Google Cloud Platform (GCP).Design, Migrate/Build and Operationalise data storage and processing infrastructure using Cloud native products.Develop and implement data quality and governance procedures to ensure the accuracy and reliability of data.Take various project requirements and organize them into clear goals and objectives, and create a work breakdown structure to manage internal and external stakeholders.Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form .
        


        
            Show more
          

          



        
            Show less"
data-and-analytics-engineer-at-google-4153073281,Data and Analytics Engineer,Google,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-and-analytics-engineer-at-google-4153073281?position=10&pageNum=0&refId=j6%2BSbvLVEYhGpnHi%2BDBu4g%3D%3D&trackingId=HTn%2B5AJJM%2BFtFAfHzgWDFQ%3D%3D,"Minimum qualifications:Bachelor's degree in Computer Science, Engineering, Mathematics, a related field, or equivalent practical experience.4 years of experience in developing and troubleshooting data processing algorithms and software using Python, Java, Scala, Spark and hadoop frameworks.Experience in distributed data processing frameworks and modern age GCP analytical and transactional data stores like BigQuery, CloudSQL, AlloyDB etc, and experience in one Database type to write SQLs.Experience in GCP.Preferred qualifications:Experience in working with/on data warehouses, including data warehouse technical architectures, infrastructure components, ETL/ELT and reporting/analytic tools, environments, and data structures.Experience with encryption techniques like symmetric, asymmetric, HSMs, and envelop, and ability to implement secure key storage using Key Management System.Experience in building multi-tier, high availability applications with modern technologies such as NoSQL, MongoDB, SparkML, and TensorFlow.Experience architecting, developing software, or internet scale production-grade Big Data solutions in virtualized environments.Experience in Big Data, information retrieval, data mining, or Machine Learning.Experience with IaC and CICD tools like Terraform, Ansible, Jenkins etc.About The JobThe Google Cloud Platform (GCP) team helps customers transform and build what's next for their business — all with technology built in the cloud. Our products are developed for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers — developers, small and large businesses, educational institutions and government agencies — see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.As a Cloud Data Engineer, you will guide customers on how to ingest, store, process, analyze, and explore/visualize data on the Google Cloud Platform. You will work on data migrations and modernization projects, and with customers to design large-scale data processing systems, develop data pipelines optimized for scaling, and troubleshoot potential platform/product challenges. You will travel to customer sites to deploy solutions and deliver workshops to educate and empower customers. Additionally, you will work with Product Management and Product Engineering teams to build and drive excellence in our products.Google Cloud accelerates every organization’s ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.ResponsibilitiesInteract with stakeholders to translate customer requirements into recommendations for appropriate solution architectures and advisory services.Engage with technical leads, and partners to lead high velocity migration and modernization to Google Cloud Platform (GCP).Design, Migrate/Build and Operationalize data storage and processing infrastructure using Cloud native products.Develop and implement data quality and governance procedures to ensure the accuracy and reliability of data.Take various project requirements and organize them into clear goals and objectives, and create a work breakdown structure to manage internal and external stakeholders.Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form .
        


        
            Show more
          

          



        
            Show less"
